UK Maximum Temperature (Degrees C)
Areal series, starting from 1910
Allowances have been made for topographic, coastal and urban effects where relationships are found to exist.
Seasons: Winter=Dec-Feb, Spring=Mar-May, Summer=June-Aug, Autumn=Sept-Nov. (Winter: Year refers to Jan/Feb).
Monthly values are ranked and displayed to 1 dp and seasonal/annual values to 2 dp. Where values are equal, rankings are based in order of year descending.
Data are provisional from December 2014 & Winter 2015. Last updated 07/04/2015

Year    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC     WIN    SPR    SUM    AUT     ANN
1921    8.4    7.2    9.4   12.0   14.9   18.2   21.5   17.7   17.3   15.6    7.3    8.6    7.27  12.10  19.12  13.43   13.22
1922    5.5    6.6    7.2    8.7   15.8   16.8   16.2   16.1   14.8   11.2    8.5    7.2    6.90  10.62  16.34  11.49   11.24
1923    7.7    6.8    9.1   10.0   12.0   15.1   19.8   17.8   15.2   11.7    5.8    5.8    7.23  10.34  17.58  10.89   11.42
1924    6.3    5.4    7.2   10.1   13.6   16.4   18.0   16.7   15.3   12.3    9.1    8.4    5.83  10.34  17.04  12.22   11.60
1925    7.1    6.7    7.3   10.3   14.0   18.5   19.9   18.2   14.1   12.9    6.4    4.8    7.44  10.54  18.88  11.15   11.72
1926    6.5    8.1    8.7   12.2   13.1   16.7   19.7   19.2   17.0   10.5    8.0    6.3    6.40  11.32  18.53  11.82   12.18
1927    6.4    6.7    9.4   10.5   14.1   15.1   18.3   18.3   14.7   12.9    8.1    3.5    6.47  11.34  17.25  11.90   11.53
1928    7.2    8.0    7.9   11.0   14.0   15.5   18.7   18.0   16.0   12.5    9.6    5.8    6.18  10.96  17.42  12.73   12.03
1929    3.5    2.9   11.1    9.8   14.8   16.3   19.1   17.8   18.5   11.8    8.9    7.3    4.13  11.90  17.76  13.05   11.87
1930    7.1    4.4    7.5   10.6   13.7   18.6   17.7   18.3   15.8   12.4    8.3    6.3    6.31  10.58  18.19  12.19   11.77
1931    5.4    5.8    6.8   10.1   14.1   16.4   17.6   17.1   14.5   12.0    9.6    7.5    5.82  10.35  17.03  12.04   11.44
1932    8.5    6.1    7.8    9.4   12.8   17.6   18.3   19.6   15.6   11.1    8.4    7.3    7.38  10.01  18.52  11.67   11.90
1933    4.7    6.2   10.6   12.0   14.8   19.0   20.9   20.6   18.3   12.4    7.7    4.2    6.09  12.44  20.19  12.81   12.65
1934    6.9    7.1    7.6   10.2   14.5   18.3   21.5   18.2   17.4   12.3    8.0    8.9    6.06  10.77  19.35  12.59   12.63
1935    6.5    7.4    9.2   10.6   13.9   17.4   20.3   20.0   15.9   11.7    8.5    4.7    7.62  11.23  19.28  12.06   12.21
1936    5.2    4.8    8.9    9.4   14.7   17.9   17.7   19.1   16.7   12.3    8.0    7.4    4.89  11.02  18.25  12.33   11.87
1937    6.9    6.7    5.6   11.4   15.3   17.0   18.4   19.9   16.2   12.7    7.9    4.8    7.01  10.73  18.44  12.27   11.92
1938    7.4    7.0   11.9   11.5   13.7   16.8   17.7   18.9   16.5   12.6   10.6    6.1    6.37  12.37  17.79  13.23   12.59
1939    5.6    7.8    8.2   11.5   14.7   17.9   17.7   19.3   16.9   11.1   10.1    5.3    6.46  11.47  18.28  12.66   12.18
1940    2.0    4.6    8.5   11.1   16.3   20.6   17.7   18.6   15.8   12.0    8.8    6.0    3.94  12.00  18.94  12.21   11.85
1941    2.2    5.3    7.5    9.0   12.7   18.2   20.1   17.3   17.5   12.9    8.7    7.6    4.46   9.75  18.55  13.02   11.62
1942    3.6    3.0    7.5   12.5   14.5   17.6   18.2   18.7   16.1   12.6    7.9    8.4    4.81  11.48  18.17  12.21   11.77
1943    6.5    8.3    9.9   13.3   15.2   17.3   19.4   18.0   15.8   13.3    8.4    6.0    7.70  12.78  18.22  12.52   12.63
1944    7.9    5.8    8.4   12.9   14.5   16.3   18.6   20.0   15.2   11.4    8.0    5.9    6.58  11.94  18.30  11.56   12.10
1945    2.7    8.9   11.0   13.1   15.1   17.2   19.4   18.9   16.8   14.4    9.4    7.2    5.72  13.08  18.48  13.51   12.85
1946    5.4    7.5    8.3   13.2   14.2   15.9   18.7   17.2   16.0   11.8    9.6    5.5    6.66  11.88  17.29  12.45   11.95
1947    4.3    0.1    5.3   11.0   16.2   18.0   19.3   22.7   17.6   13.8    9.0    6.8    3.41  10.81  20.02  13.46   12.08
1948    6.4    6.6   11.8   12.2   15.2   16.2   18.3   17.2   16.0   12.4    9.7    7.6    6.57  13.07  17.22  12.72   12.48
1949    7.4    8.3    7.9   12.7   14.5   18.6   20.4   19.6   18.8   14.0    8.8    7.3    7.74  11.68  19.56  13.85   13.21
1950    6.3    7.1   10.3   10.2   14.3   19.1   18.6   18.4   15.0   11.9    7.5    3.0    6.91  11.60  18.70  11.47   11.83
1951    5.4    5.3    6.3    9.5   12.8   17.0   19.0   17.3   16.5   12.8   10.0    7.5    4.53   9.53  17.76  13.07   11.63
1952    4.5    5.9    8.6   12.8   16.2   16.8   19.3   18.4   13.6   11.3    6.2    5.3    5.94  12.52  18.18  10.37   11.59
1953    5.7    6.7    9.8   10.3   15.7   17.1   17.9   18.8   16.6   12.7   10.1    8.5    5.88  11.95  17.97  13.15   12.54
1954    5.1    4.6    8.0   11.2   14.3   15.9   16.4   16.8   15.1   13.5    9.0    8.1    6.10  11.17  16.35  12.54   11.54
1955    4.3    3.2    6.3   12.7   12.7   16.5   21.3   21.2   17.2   12.0    9.4    7.4    5.29  10.51  19.73  12.89   12.08
1956    5.4    3.0    9.0   10.3   15.4   15.9   18.0   15.9   16.4   12.1    8.4    7.6    5.32  11.56  16.60  12.29   11.47
1957    7.5    7.0   11.2   11.9   13.9   19.0   18.4   17.8   14.6   13.1    8.3    6.8    7.36  12.31  18.37  12.00   12.47
1958    5.6    6.6    5.8   10.4   13.8   16.4   18.4   18.1   17.5   13.0    8.8    6.4    6.31  10.00  17.65  13.10   11.76
1959    4.0    6.9    9.6   11.9   16.3   18.2   20.1   20.2   18.8   15.4    9.2    7.5    5.72  12.61  19.52  14.49   13.21
1960    5.8    5.8    8.1   12.1   16.2   19.3   17.7   17.7   15.7   12.1    9.0    5.6    6.39  12.14  18.24  12.26   12.12
1961    5.4    8.6   11.2   12.0   14.1   17.4   17.5   18.0   17.4   13.0    8.1    4.6    6.48  12.45  17.63  12.83   12.29
1962    6.5    6.7    5.6   10.6   12.9   16.9   17.2   16.7   14.8   13.1    7.5    5.0    5.88   9.68  16.94  11.82   11.15
1963    0.9    1.9    8.4   10.8   13.3   17.5   17.8   16.5   15.6   13.0    9.3    5.0    2.63  10.82  17.27  12.62   10.87
1964    5.8    6.4    6.2   11.2   15.8   16.3   18.4   18.1   17.0   11.7    9.4    5.8    5.71  11.05  17.60  12.72   11.85
1965    5.1    5.4    7.9   11.1   14.0   17.0   16.2   17.5   14.7   13.4    6.4    6.2    5.44  11.00  16.91  11.54   11.28
1966    4.4    6.4    9.0    9.0   14.2   17.8   17.6   17.4   16.4   12.2    7.3    7.1    5.65  10.77  17.59  11.98   11.60
1967    6.1    7.3    9.0   10.6   12.7   17.4   19.0   18.2   16.0   12.3    8.0    6.3    6.82  10.76  18.21  12.10   11.94
1968    6.2    4.0    8.7   11.2   12.4   17.8   17.4   18.1   16.0   13.9    8.0    5.1    5.55  10.78  17.76  12.65   11.59
1969    6.9    2.9    5.6   10.7   13.5   17.5   19.5   18.8   16.3   15.2    7.1    5.4    5.03   9.92  18.63  12.87   11.67
1970    5.5    5.0    6.4    9.2   15.5   19.7   17.2   18.8   16.6   12.9    9.1    6.2    5.30  10.37  18.53  12.89   11.87
1971    6.4    7.1    7.7   10.6   15.0   15.0   19.8   18.0   17.6   14.1    8.6    8.4    6.55  11.10  17.63  13.43   12.39
1972    5.4    6.0    9.2   10.9   13.2   14.5   18.4   17.7   14.9   13.2    8.3    7.6    6.62  11.11  16.91  12.14   11.64
1973    6.3    6.5    9.5    9.8   13.9   18.0   18.4   19.2   16.6   11.8    8.3    7.0    6.82  11.09  18.54  12.21   12.14
1974    7.9    7.3    8.0   11.8   14.1   16.7   17.3   18.0   14.3    9.8    8.4    9.0    7.40  11.29  17.32  10.82   11.91
1975    8.1    6.8    6.9   10.7   12.9   18.3   19.8   21.5   15.8   12.7    8.6    7.3    8.05  10.20  19.91  12.32   12.50
1976    7.1    6.4    7.2   11.0   14.5   19.9   21.6   21.4   15.5   12.3    8.2    3.8    6.96  10.92  20.96  12.01   12.43
1977    4.5    6.3    8.9    9.6   13.8   15.4   18.9   18.1   15.2   13.8    7.9    7.5    4.81  10.81  17.46  12.33   11.70
1978    5.0    4.2    8.8    8.9   15.1   16.5   17.1   17.3   16.1   14.0   10.3    5.7    5.61  10.95  16.95  13.45   11.61
1979    2.6    3.2    6.4    9.9   12.5   16.8   18.5   17.3   15.9   13.4    8.8    7.0    3.86   9.60  17.55  12.72   11.08
1980    4.3    7.3    6.7   12.0   15.1   16.5   17.1   18.2   16.7   11.1    8.1    7.6    6.18  11.24  17.26  11.95   11.72
1981    6.7    5.5    9.2   10.9   14.3   15.8   17.9   19.2   17.1   10.2    9.4    2.9    6.61  11.47  17.65  12.24   11.63
1982    5.1    7.1    8.6   11.9   15.1   17.7   19.5   18.2   16.7   12.2    9.2    6.4    4.95  11.86  18.47  12.68   12.32
1983    8.1    4.1    8.6    9.4   12.5   16.8   22.2   20.6   15.5   12.5    9.3    7.9    6.28  10.14  19.91  12.45   12.35
1984    5.2    5.9    6.8   12.1   13.6   17.4   20.3   20.6   15.4   13.2    9.3    7.5    6.34  10.80  19.46  12.63   12.29
1985    3.2    5.1    7.2   10.9   13.7   15.5   18.4   16.7   16.5   13.3    6.2    7.7    5.26  10.59  16.90  12.04   11.24
1986    5.2    1.4    7.7    8.4   13.6   17.8   18.2   16.0   14.8   13.1    9.9    7.6    4.87   9.93  17.33  12.59   11.20
1987    3.1    6.1    6.5   12.9   13.2   15.1   18.4   18.1   16.1   11.8    8.2    7.3    5.59  10.86  17.21  12.02   11.43
1988    6.7    6.8    8.2   11.0   15.0   17.7   16.9   17.9   15.6   12.5    8.4    9.1    6.94  11.39  17.48  12.16   12.16
1989    8.6    8.1    9.6    9.2   16.3   17.9   21.4   19.2   16.8   13.7    8.7    6.4    8.61  11.76  19.55  13.07   13.04
1990    8.2    8.8   10.6   11.6   16.4   16.3   20.1   20.5   15.7   13.5    8.5    6.4    7.77  12.86  18.98  12.59   13.08
1991    5.3    4.4   10.0   10.7   13.9   14.8   20.0   20.1   17.7   12.0    8.6    7.2    5.42  11.55  18.32  12.76   12.11
1992    6.2    7.9    9.2   11.0   16.9   19.1   18.6   17.7   15.3   10.0    9.3    5.8    7.07  12.37  18.43  11.53   12.25
1993    7.8    7.0    9.1   11.7   14.1   17.6   17.5   17.4   14.9   10.5    6.9    6.6    6.87  11.64  17.45  10.79   11.78
1994    6.7    5.1    9.1   10.6   13.4   16.9   20.7   18.3   14.9   12.5   11.3    8.3    6.17  11.04  18.65  12.91   12.37
1995    6.5    7.9    7.8   11.6   14.8   17.5   21.4   22.7   16.2   15.1    9.8    4.2    7.56  11.39  20.58  13.70   12.99
1996    5.7    5.1    6.4   11.4   12.2   17.7   19.3   19.4   16.6   13.7    7.8    5.0    5.01   9.98  18.82  12.69   11.71
1997    4.9    8.4   10.7   12.2   14.8   16.5   19.9   21.6   16.7   13.0   10.3    7.8    6.00  12.60  19.33  13.34   13.09
1998    7.0    9.8    9.9   10.1   15.9   16.4   17.7   18.6   17.0   12.2    8.3    8.0    8.16  12.02  17.58  12.50   12.60
1999    7.2    7.1    9.5   12.2   15.5   16.6   20.5   18.9   18.2   13.1    9.7    6.5    7.44  12.40  18.72  13.66   12.96
2000    7.2    8.1    9.9   10.5   15.4   17.2   18.2   19.6   17.1   12.5    8.7    7.0    7.27  11.97  18.34  12.76   12.64
2001    5.3    6.7    7.4   10.4   16.3   16.9   19.4   19.3   15.7   15.0   10.0    6.3    6.33  11.38  18.57  13.58   12.44
2002    7.9    8.6   10.1   12.6   14.8   17.0   18.4   19.7   17.3   12.1   10.1    6.8    7.57  12.48  18.39  13.20   12.98
2003    6.4    6.8   11.2   13.6   14.8   19.1   20.4   21.3   17.9   12.1   10.4    7.3    6.67  13.20  20.25  13.46   13.48
2004    7.1    7.4    9.3   12.3   15.7   18.2   18.5   20.0   17.2   12.4    9.7    8.0    7.27  12.40  18.92  13.11   13.00
2005    8.1    6.4    9.6   11.9   14.4   18.5   19.4   19.3   17.8   14.6    9.0    7.1    7.55  11.96  19.07  13.81   13.05
2006    6.4    6.2    7.1   11.3   15.0   19.4   23.2   18.8   19.2   14.9   10.5    8.2    6.61  11.13  20.47  14.84   13.38
2007    8.7    8.1   10.1   15.2   14.8   17.7   18.0   18.5   16.5   13.9    9.9    7.4    8.34  13.35  18.07  13.45   13.26
2008    8.1    8.9    8.5   11.1   16.8   17.3   19.4   18.5   16.1   12.2    8.9    6.1    8.11  12.15  18.40  12.41   12.67
2009    5.7    6.4    9.9   13.3   15.3   18.4   19.2   19.3   17.0   13.8   10.0    5.1    6.05  12.84  18.99  13.60   12.82
2010    3.6    4.8    8.9   12.7   14.4   19.1   19.6   18.2   16.6   12.9    7.2    2.4    4.50  12.00  18.95  12.22   11.73
2011    5.8    8.1    9.8   15.7   15.2   17.1   18.7   18.0   17.5   14.5   11.7    7.7    5.34  13.54  17.95  14.57   13.34
2012    7.5    7.2   12.1   10.2   15.0   15.9   17.8   19.4   15.9   11.6    8.8    6.7    7.45  12.45  17.73  12.06   12.36
2013    5.6    5.7    5.1   10.4   13.8   17.2   22.1   19.8   16.6   14.1    8.6    8.7    6.03   9.77  19.73  13.13   12.36
2014    7.4    7.8   10.5   13.2   15.2   18.6   21.2   18.0   18.2   14.3   10.4    7.3    7.98  12.96  19.26  14.28   13.53
